iter	Passed	Remaining
1094	40297	327719
1095	40336	327693
1096	40369	327632
1097	40403	327574
1098	40440	327533
1099	40477	327496
1100	40513	327457
1101	40547	327397
1102	40586	327377
1103	40623	327342
1104	40662	327323
1105	40696	327260
1106	40731	327210
1107	40772	327213
1108	40810	327180
1109	40847	327150
1110	40885	327122
1111	40929	327138
1112	40969	327129
1113	41003	327073
1114	41041	327043
1115	41078	327007
1116	41116	326979
1117	41151	326928
1118	41191	326922
1119	41233	326921
1120	41268	326872
1121	41307	326855
1122	41348	326846
1123	41388	326837
1124	41421	326771
1125	41457	326727
1126	41492	326677
1127	41532	326665
1128	41568	326617
1129	41605	326584
1130	41640	326531
1131	41680	326520
1132	41718	326496
1133	41760	326499
1134	41797	326461
1135	41834	326428
1136	41874	326417
1137	41907	326349
1138	41945	326321
1139	41985	326309
1140	42024	326288
1141	42062	326263
1142	42101	326241
1143	42142	326237
1144	42178	326190
1145	42216	326163
1146	42255	326146
1147	42292	326108
1148	42329	326073
1149	42365	326027
1150	42398	325965
1151	42437	325940
1152	42475	325912
1153	42513	325887
1154	42552	325865
1155	42591	325846
1156	42631	325831
1157	42669	325808
1158	42705	325762
1159	42747	325768
1160	42782	325714
1161	42820	325688
1162	42857	325650
1163	42894	325614
1164	42929	325562
1165	42965	325518
1166	43001	325475
1167	43040	325453
1168	43077	325417
1169	43113	325378
1170	43150	325343
1171	43189	325317
1172	43227	325297
1173	43264	325255
1174	43299	325206
1175	43335	325164
1176	43373	325136
1177	43412	325117
1178	43448	325070
1179	43487	325048
1180	43522	324999
1181	43561	324980
1182	43592	324897
1183	43630	324871
1184	43671	324865
1185	43705	324804
1186	43742	324767
1187	43783	324767
1188	43822	324739
1189	43862	324727
1190	43899	324694
1191	43934	324642
1192	43972	324611
1193	44009	324576
1194	44050	324574
1195	44085	324525
1196	44123	324492
1197	44157	324437
1198	44196	324414
1199	44230	324353
1200	44269	324332
1201	44305	324292
1202	44345	324278
1203	44380	324226
1204	44418	324202
1205	44452	324144
1206	44490	324110
1207	44527	324079
1208	44567	324061
1209	44605	324032
1210	44638	323969
1211	44679	323961
1212	44715	323919
1213	44753	323894
1214	44792	323872
1215	44830	323842
1216	44865	323790
1217	44907	323787
1218	44943	323749
1219	44985	323749
1220	45036	323814
1221	45077	323803
1222	45112	323757
1223	45148	323710
